category,question,answer,source
基礎規格,米開朗柔性軌道系列使用的是什麼電壓設計？,使用 DC 24V 低電壓安全通電設計。,Page 3
基礎規格,請問型號 D-FXSPL12N 的色溫、光通量及光束角分別是多少？,色溫為 4000K、光通量為 840LM、光束角為 36°。,Page 4
基礎規格,米開朗柔性基礎排燈的燈體材質是什麼？,材質包含鋁與 PC。,Page 4
產品特性,米開朗柔性軌道系列有哪些主要特點？適合安裝在哪裡？,特點包括：軌道可彎曲以適應佈局、具備超高演色性 Ra >= 90、採低電壓安全設計。適合安裝在家中角落或商店展示空間。,Page 3
產品特性,米開朗柔性軌道的燈具有什麼方便安裝的設計？,燈具設計有「按壓自動彈開扣入軌道」的功能，安裝十分便利。,Page 4
產品特性,米開朗柔性軌道投射燈的角度調整範圍是多少？,旋轉角度可達 355°，垂直調整角度可達 170°。,Page 5
比較分析,「投射排燈」和「基礎排燈」的發光角度有什麼差別？,投射排燈的光束角為 36°，而基礎排燈的發光角度較廣，為 140°。,Page 4
規格細節,安裝米開朗系列燈具時，電源部分有什麼需要注意的？,輸入電壓為 DC24V，且需注意驅動器為外接且費用另計。,Page 4 & 5
規格細節,米開朗柔性軌道系列對於色彩還原度的表現如何？,表現極佳，具備 Ra >= 90 高演色性、R9 > 50 以及 SDCM < 3.5 的低色容差，確保光色無色差。,Page 3 & 4
產品型號查詢,請問有推薦的「LED燈 35Wx1 嵌入式 220V」產品嗎？,推薦型號為：舞光/D-PD25D-EGR1,客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 20Wx1 吊管式 220V」產品嗎？,推薦型號為：舞光/L4140+65K,客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 20Wx1 吸頂式 220V」產品嗎？,推薦型號為：舞光/L4140+65K,客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 20Wx1 壁式 220V」產品嗎？,推薦型號為：舞光/L4140+65K,客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 15Wx1 嵌入式 220V」產品嗎？,推薦型號為：舞光/D-15DOP12DESR1,客戶需求對照表
產品型號查詢,請問有推薦的「LED 燈 13Wx2 壁式 220V」產品嗎？,推薦型號為：舞光/OD-2054-S+LED-E2712W-EG 舞-E27X2 小螺旋壁燈銀框 +12W*2,客戶需求對照表
產品型號查詢,請問有推薦的「LED 燈 50Wx1 壁投式 220V」產品嗎？,推薦型號為：舞光/E-FLCS50D 舞-50W 凱薩泛光燈 5700K,客戶需求對照表
產品型號查詢,請問有推薦的「LED 燈 100Wx1 壁投式 220V」產品嗎？,推薦型號為：舞光/E-FLCS100D 舞-100W 凱薩泛光燈 5700K,客戶需求對照表
產品型號查詢,請問有推薦的「LED 燈 20Wx2 吸頂式 220V」產品嗎？,推薦型號為：舞光/L4240+65K (組) 舞-4 尺 2 管 26W 工事燈 65K,客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 40Wx1 平板燈」產品嗎？,推薦型號為：舞光/D-PD40DR7 舞-40W 柔光平板燈 65K,客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 20Wx1 山型燈」產品嗎？,推薦型號為：舞光/LED-4143R5+DR7 舞-4尺單山型燈具+20W,客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 10Wx1 山型燈」產品嗎？,推薦型號為：舞光/LED-2143R5+DR7 舞-2尺單山型燈具+10W,客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 100Wx1 天井燈」產品嗎？,推薦型號為：舞光/D-HBAS100D 舞-100W 飛艦天井燈,客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 10Wx1 壁式」產品嗎？,推薦型號為：舞光/OD-2272 舞-10W 月光壁燈 30K,客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 50Wx1 壁投式」產品嗎？,推薦型號為：舞光/OD-FLZ50DR1 舞-50W 宙斯泛光燈 65K,客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 10Wx1 嵌入式」產品嗎？,"推薦型號為：舞光/DL-51040-LO+10W 舞-E27 15"" 橫崁+玻+10W",客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 10Wx1 吸頂式」產品嗎？,推薦型號為：舞光/EC-806+D-E2710WR10 舞-白筒燈 17X19CM+10W,客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 9Wx1 照樹燈」產品嗎？,推薦型號為：舞光/OD-3174R1 舞-9W 照樹燈 30K 35°,客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 10Wx1 草皮燈」產品嗎？,推薦型號為：舞光/OD-3168R2 舞-10W 馬克草皮燈 80CM 30K,客戶需求對照表
產品型號查詢,請問有推薦的「LED燈 25Wx1 高燈」產品嗎？,推薦型號為：舞光/OD-1034R1+D-E2725WR3 舞-E27X1 高燈+25W,客戶需求對照表
