ID,Category,Query,Expected,AI Answer,Result,Consistency %,Variations,Avg Time (s)
1,基礎規格,米開朗柔性軌道系列使用的是什麼電壓設計？,使用 DC 24V 低電壓安全通電設計。,"- **需求判斷**
  - 你詢問的是「特定產品系列（米開朗柔性軌道系列）」的**供電/電壓設計**，屬於規格查詢。

- **米開朗柔性軌道系列｜電壓設計（依目錄內容）**
  - **輸入電壓 / 供電設計：DC 24V（低電壓安全通電設計）**
    - 目錄亦多處標示：**DC24V（需外接驅動器，另計）**
  - **光品質（系列共通重點）**
    - **演色性：Ra ≧90，R9 >50**
    - **SDCM：< 3.5（低色容差、光色無色差）**
  - **系列內產品例（同為 DC24V）**
    - 投射燈 **D-FXTR7N / D-FXTR7W**：**7W**、**4000K / 3000K**、Ra≧90、SDCM<3.5、**DC24V（需外接驅動器）**
    - 玻璃球燈 **D-FXGB6N / D-FXGB6W**：**6W**、**4000K / 3000K**、Ra≧90、SDCM<3.5、**DC24V（需外接驅動器）**

如你願意，我也可以依你要裝在「商空展示 / 走道 / 氛圍」等用途，幫你從目錄裡挑適合的燈型與色溫搭配。",✅ Pass,100.0,1,9.59
2,基礎規格,請問型號 D-FXSPL12N 的色溫、光通量及光束角分別是多少？,色溫為 4000K、光通量為 840LM、光束角為 36°。,"- **需求判斷**：您是在查詢「特定產品型號（D-FXSPL12N）」的規格資料（色溫 / 光通量 / 光束角）。

- **查詢結果（依目前提供的目錄內容）**：  
  - 抱歉，目前的產品目錄中沒有提到 **D-FXSPL12N** 的 **色溫(K)、光通量(LM)、光束角** 的具體數值。  
  - 在您提供的 context 裡，僅看到 **D-FXSPL12N** 出現在「配件/頁碼索引（P.12）」的列表中，但未包含其規格表內容。

- **建議您提供**：  
  - **P.12 的產品頁截圖/文字內容**（或更完整的型錄頁面），我就能幫您把 D-FXSPL12N 的 **色溫、光通量、光束角** 逐項整理成列點規格給您。",❌ Fail,100.0,1,6.38
3,基礎規格,米開朗柔性基礎排燈的燈體材質是什麼？,材質包含鋁與 PC。,"- **需求判斷**：您是在詢問「特定產品名稱」——**米開朗柔性基礎排燈**的材質資訊。

- **米開朗柔性基礎排燈（基礎排燈）燈體材質（依目錄型號）**  
  - **D-FXSPL12N / D-FXSPL12W**
    - **燈體材質**：**鋁、PC**
    - 參考規格（目錄同步列出）：
      - **瓦數**：12W  
      - **色溫**：4000K（N）/ 3000K（W）  
      - **演色性**：Ra≧90、R9>50  
      - **特殊/其他**：SDCM<3.5、DC24V（需外接驅動器，另計）、光束角36°",✅ Pass,100.0,1,5.68
4,產品特性,米開朗柔性軌道系列有哪些主要特點？適合安裝在哪裡？,特點包括：軌道可彎曲以適應佈局、具備超高演色性 Ra >= 90、採低電壓安全設計。適合安裝在家中角落或商店展示空間。,"- **需求判斷**
  - 你詢問的是「特定產品系列（米開朗柔性軌道系列）」的**主要特點**與**適用安裝場所**（屬於場景/空間需求）。

- **米開朗柔性軌道系列｜主要特點（依目錄內容整理）**
  - **軌道可彎曲造型**
    - 可呈現**彎曲與圓弧**，帶來「流動的光之河」般的視覺效果
    - 更能適應**狹窄或不規則區域**的空間佈局
  - **安裝與配置彈性**
    - 主打**簡易明裝**，安裝便利
    - **燈具多款自由變化、款式多樣組合**，可同時滿足照明與氛圍需求
    - 可搭配**吸頂式固定架**，讓安裝與維修更便利
  - **安全供電設計**
    - **DC 24V 低電壓**通電設計（目錄亦註明部分燈具需外接驅動器，驅動器另計）
  - **高品質光色與顯色**
    - **演色性：Ra ≧ 90，且 R9 > 50**（更能還原真實色彩）
    - **SDCM < 3.5**（低色容差，光色更一致、減少色差）
    - 光感描述為**舒適柔和、明亮不刺眼**
  - **燈具可調角度（目錄示意）**
    - 系列中有「投射排燈」標示**可旋轉角度 320° / 40°**（用於調整照射方向與角度）

- **適合安裝在哪裡？（依目錄場景描述）**
  - **商業空間照明**
    - 例如：**商店展示、商品重點照明**（目錄提到「無論是商店的展示，都能靈活展現燈光之美」）
  - **住宅空間**
    - 適合家中想強調氛圍或局部照明的地方（目錄提到「家中的一隅」）
  - **特殊造型/不規則動線的空間**
    - 天花或牆面有**彎曲需求、圓弧設計、狹窄區域**，特別適合用柔性軌道去貼合空間線條

- **補充：目錄中可查到的系列燈具規格範例（規格導向）**
  - **米開朗柔性軌道投射燈**
    - 產品型號：D-FXTR7N / D-FXTR7W  
    - 瓦數：**7W**
    - 色溫：**4000K（N）/ 3000K（W）**
    - 光通量：**530lm（4000K）/ 460lm（3000K）**
    - 演色性：**Ra ≧ 90，R9 > 50**
    - SDCM：**< 3.5**
    - 輸入電壓：**DC24V（需外接驅動器，另計）**
    - 光束角：**36°**
    - 特性：可調整照射方向（目錄亦強調投射型可旋轉角度）
  - **米開朗柔性基礎排燈**
    - 產品型號：D-FXSPL12N / D-FXSPL12W
    - 瓦數：**12W**
    - 色溫：**4000K / 3000K**
    - 光通量：**840lm（4000K）/ 780lm（3000K）**
    - 演色性：**Ra ≧ 90，R9 > 50**
    - SDCM：**< 3.5**
    - 輸入電壓：**DC24V（需外接驅動器，另計）**
    - 光束角：**36°**
  - **米開朗柔性投射排燈（廣角）**
    - 產品型號：D-FXFLL12N / D-FXFLL12W
    - 瓦數：**12W**
    - 色溫：**4000K / 3000K**
    - 光通量：**660lm（4000K）/ 600lm（3000K）**
    - 演色性：**Ra ≧ 90，R9 > 50**
    - SDCM：**< 3.5**
    - 輸入電壓：**DC24V（需外接驅動器，另計）**
    - 發光角度：**140°**
    - 特性：目錄提到**扣入軌道好安裝、按壓自動彈開**

如果你願意，我也可以依你要裝的空間（例如服飾店/咖啡廳/住家客廳）、想要的氛圍（3000K暖光或4000K自然光）、以及你偏好「投射重點」或「均勻泛光」來幫你把燈具款式與配置方向做更精準的建議。",❌ Fail,100.0,1,23.6
5,產品特性,米開朗柔性軌道的燈具有什麼方便安裝的設計？,燈具設計有「按壓自動彈開扣入軌道」的功能，安裝十分便利。,"顧問建議（需求判斷：你在詢問「特定產品—米開朗柔性軌道」的燈具安裝便利設計）：

- **扣入軌道好安裝**
  - 目錄明確標示燈具可「扣入軌道」完成安裝，安裝流程更直覺、省時。

- **按壓自動彈開（便利拆裝/維護）**
  - 燈具具備「按壓自動彈開」機制，後續要調整位置或維修、更換燈具時更方便。

- **磁吸／模組化自由變化（系統安裝便利）**
  - 目錄描述米開朗柔性軌道系列為「簡易明裝超便利、燈具多款自由變化」，並強調「磁吸輕鬆安裝．隨心自由變化」（同系列照明特性描述中提及）。

- **搭配吸頂式固定架，安裝維修更便利**
  - 目錄指出可「搭配吸頂式固定架」，提升安裝與日後維修的便利性。

同場補充（與安裝相關的使用注意/規格，目錄有提到）：
- **DC 24V 低電壓供電**：需外接 **DC24V 驅動器**（安全通電設計）。
- **彎曲限制**：彎曲直徑需 **大於 30 公分**，避免銅線受損。
- **供電串接能力**：單一電源可串接 **10 米**；單一電源線可乘載 **120W**。

如果你方便告訴我你想裝的是「投射排燈／基礎排燈／5W投射燈／吊燈」哪一種燈具類型，我也可以再依目錄把對應型號的瓦數、色溫、光束角等規格整理給你。",❌ Fail,100.0,1,9.23
6,產品特性,米開朗柔性軌道投射燈的角度調整範圍是多少？,旋轉角度可達 355°，垂直調整角度可達 170°。,"- **需求判斷**：你詢問的是「特定產品名稱」—**米開朗柔性軌道投射燈**的**角度調整範圍**。

- **角度調整範圍（依目錄內容）**  
  - **可調整角度**：**355° / 170°**（目錄在「米開朗柔性軌道投射燈」示意旁標示）

- **同頁規格補充（方便你確認是否符合需求）**  
  - **產品型號**：D-FXTR7N / D-FXTR7W  
  - **消耗電力**：7W  
  - **色溫**：4000K（D-FXTR7N）/ 3000K（D-FXTR7W）  
  - **光通量**：530lm（4000K）/ 460lm（3000K）  
  - **演色性**：Ra ≧90、R9 > 50  
  - **SDCM**：< 3.5（低色容差）  
  - **輸入電壓**：DC24V（需外接驅動器，另計）  
  - **光束角**：36°  
  - **燈體材質**：鋁 / PMMA",✅ Pass,100.0,1,4.99
7,比較分析,「投射排燈」和「基礎排燈」的發光角度有什麼差別？,投射排燈的光束角為 36°，而基礎排燈的發光角度較廣，為 140°。,"- **需求判斷**
  - 你詢問的是「特定產品類型」：**投射排燈 vs 基礎排燈**，想比較兩者在**發光角度/光束角**上的差異。

- **發光角度差別（依目錄內容整理）**
  - **米開朗柔性軌道系列**
    - **投射排燈（D-FXFLL12N / D-FXFLL12W）**
      - 發光角度：**140°**
      - 功率：**12W**
      - 色溫：**4000K / 3000K**
      - 演色性：**Ra≧90、R9>50**
      - 特色：**燈具可旋轉（目錄標示可旋轉角度 320° / 40°）**、DC24V（需外接驅動器）
    - **基礎排燈（D-FXSPL12N / D-FXSPL12W）**
      - 光束角：**36°**
      - 功率：**12W**
      - 色溫：**4000K / 3000K**
      - 演色性：**Ra≧90、R9>50**
      - 特色：DC24V（需外接驅動器）

- **重點結論（角度差異）**
  - 以目錄列出的數據來看：
    - **投射排燈：140°（較廣）**
    - **基礎排燈：36°（較集中）**
  - 也就是說，同屬排燈但在目錄規格中，兩者的出光角度呈現「**廣角 vs 窄角**」的明顯差異。

> 若你要我更精準建議選哪一種（例如打牆面洗牆、照展示品、或做環境補光），可以告訴我你的空間用途與要照的距離/高度。",❌ Fail,100.0,1,9.05
8,規格細節,安裝米開朗系列燈具時，電源部分有什麼需要注意的？,輸入電壓為 DC24V，且需注意驅動器為外接且費用另計。,"顧問建議（判斷：您是針對**特定產品系列/安裝情境**「米開朗柔性軌道系列」詢問電源注意事項，而非找特定單一燈具型號）

- **務必確認供電規格：DC24V（低電壓）**
  - 米開朗柔性軌道系列目錄明確標示：**需外接 DC24V 驅動器**
  - 例：米開朗柔性軌道吊燈（型號如 **D-FXPC5N / D-FXPC5W**）
    - **輸入電壓：DC24V（需外接驅動器）**
    - **瓦數：5W**
    - **色溫：4000K（D-FXPC5N）/ 3000K（D-FXPC5W）**
    - **演色性：Ra≧90、R9>50**
    - **SDCM：<3.5**
    -（上述規格可協助您回推所需驅動器容量）

- **驅動器選型：總瓦數要預留 10% 以上**
  - 目錄建議公式：**總瓦數(W) × 1.1 = 適用驅動器瓦數(W)**  
  - 目的：避免瞬間電流過高造成不穩或損壞

- **接線端務必分清 AC / DC，避免燒毀**
  - 目錄提醒：**請勿接錯，以免燒毀**
  - 線材對應（以明緯/驅動器接法示意）：
    - **紅黑色線：DC 端接燈具**
    - **藍棕色線：AC 端接市電**

- **串接/負載限制（米開朗柔性軌道）**
  - **單一電源可串接 10 米**
  - **單一電源線可乘載 120W**
  - 若您的設計超過上述長度或功率，建議分段供電或增加電源配置（以符合目錄限制）

- **必備配件注意**
  - 目錄標示：**需另購專用電源線**（米開朗柔性軌道-電源線：**D-FX-PCD**）

如果您願意提供「預計安裝總長度（米）/ 預計使用燈具數量與瓦數」，我可以依目錄的「總瓦數×1.1」幫您一起把驅動器瓦數需求整理成清單。",✅ Pass,100.0,1,11.6
9,規格細節,米開朗柔性軌道系列對於色彩還原度的表現如何？,表現極佳，具備 Ra >= 90 高演色性、R9 > 50 以及 SDCM < 3.5 的低色容差，確保光色無色差。,"- **需求分析**：你詢問的是「米開朗柔性軌道系列」在**色彩還原度（演色性/CRI）**上的表現，屬於針對**特定系列產品的規格與光品質**評估（非特定場所規劃）。

- **色彩還原度整體表現（依目錄內容）**
  - **演色性（Ra）**：**Ra ≧ 90**（目錄描述為「超高演色性」，可更真實呈現被照物顏色）
  - **紅色指標（R9）**：**R9 > 50**（對紅色呈現更有幫助，提升膚色、紅色商品、木質/暖色材質的真實感）
  - **色容差（SDCM）**：**SDCM < 3.5**（低色容差，目錄說明「幾乎無可見色差」，有助於同一空間多盞燈的光色一致性）

- **可參考的系列內產品規格舉例（皆為目錄中資料）**
  - **D-FXTR7N（米開朗柔性軌道投射燈）**
    - 瓦數：**7W**
    - 色溫：**4000K**
    - 演色性：**Ra ≧ 90，R9 > 50**
    - SDCM：**< 3.5**
    - 特殊/重點：**DC24V（需外接驅動器）**、光束角 **36°**
  - **D-FXTR7W（米開朗柔性軌道投射燈）**
    - 瓦數：**7W**
    - 色溫：**3000K**
    - 演色性：目錄同頁呈現系列規格為 **Ra ≧ 90，R9 > 50**（此系列主打一致）
    - SDCM：系列主打 **< 3.5**
    - 特殊/重點：**DC24V（需外接驅動器）**、光束角 **36°**
  - **D-FXSPL12N（米開朗柔性投射排燈/基礎排燈）**
    - 瓦數：**12W**
    - 色溫：**4000K**
    - 演色性：**Ra ≧ 90，R9 > 50**
    - SDCM：**< 3.5**
    - 特殊/重點：**DC24V（需外接驅動器）**、光束角 **36°**
  - **D-FXSPL12W（米開朗柔性投射排燈/基礎排燈）**
    - 瓦數：**12W**
    - 色溫：**3000K**
    - 演色性：目錄同頁呈現系列規格為 **Ra ≧ 90，R9 > 50**
    - SDCM：系列主打 **< 3.5**
    - 特殊/重點：**DC24V（需外接驅動器）**

- **顧問建議（就色彩還原度結論）**
  - 以目錄規格來看，米開朗柔性軌道系列屬於**高演色性 Ra≧90 + 強化紅色 R9>50 + 低色容差 SDCM<3.5**的配置，對於需要「顏色看起來更準、同一面牆/同一排燈不易色偏」的需求表現很有優勢。  
  - 若你願意提供使用場景（例如服飾、餐飲、藝術品、居家客廳等）以及偏好 **3000K/4000K**，我也可以再幫你把色溫與燈型（投射燈/排燈）搭配建議整理成一套更精準的選型清單。",✅ Pass,100.0,1,14.16
10,產品型號查詢,請問有推薦的「LED燈 35Wx1 嵌入式 220V」產品嗎？,推薦型號為：舞光/D-PD25D-EGR1,"- **需求判斷**
  - 您要找的是「**35W、單顆(35Wx1)、嵌入式、220V**」的 LED 燈具。
  - 目前目錄內容中，**有符合 35W 且支援 220V(全電壓100–240V) 的產品**，但**未明確標示為「嵌入式/崁入式」**款式。

- **目錄中最接近您條件（35W、可用220V）的型號**
  - **產品型號**：D-OFO35D  
  - **消耗電力**：35W  
  - **色溫**：6500K  
  - **光通量**：4200 lm  
  - **演色性**：Ra ≧80  
  - **輸入電壓**：100–240V（全電壓，**包含220V**）  
  - **發光角度**：160°  
  - **燈體材質**：鋁材、PC  

- **提醒（與「嵌入式」關鍵條件的落差）**
  - 抱歉，目前的產品目錄中**沒有提到**「35W x1 且明確為嵌入式(崁入式)」的產品型號與開孔尺寸等細節。

- **我需要您補充 2 個資訊，才能更精準幫您對到「嵌入式」款**
  - 需要的**崁入孔尺寸**（例如 Φ75 / Φ95 / Φ134…）
  - 安裝位置是 **天花板嵌入** 還是 **吸頂/壁面**（因為目錄中 35W 這款未標示崁入資訊）",❌ Fail,100.0,1,10.88
