row_id,request,expected_product,most_common_answer,consistency_score_pct,accuracy_pass,unique_variations,avg_time_per_query
1,LED燈 35Wx1 嵌入式 220V,舞光/D-PD25D-EGR1,"根據型錄內容，以下是所有產品及其規格的詳細統整：

1. **LED T8 燈管系列**（Page 330）
   - 產品型號：LED-T85DR7、LED-T85WR7、LED-T810DR7、LED-T810NR7、LED-T810WR8、LED-T815DR7、LED-T820DR7、LED-T820NR7、LED-T820WR7
   - 消耗電力：5W、10W、15W、20W
   - 色溫：6500K、3000K、4000K
   - 光通量：500LM、1100LM、1650LM、2200LM、2100LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：耐熱燈頭、玻璃、軟燈板

2. **一體式山形燈**（Page 208）
   - 產品型號：D-OFM35D
   - 消耗電力：35W
   - 色溫：6500K
   - 光通量：4200LM
   - 演色性：≧ 80
   - 發光角度：210˚
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：鋁材、PC

3. **LED T5 燈管系列**（Page 331）
   - 產品型號：LED-T57D、LED-T57N、LED-T57W、LED-T514D、LED-T514N、LED-T514W
   - 消耗電力：7W、14W
   - 色溫：6500K、4000K、3000K
   - 光通量：1000LM、900LM、2000LM、1960LM、1800LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：塑膜包覆、玻璃

4. **Ai 智慧吸頂燈**（Page 185）
   - 產品型號：LED-CES30-TWM、LED-CES50-TWM
   - 消耗電力：30W、50W
   - 色溫：3000K | 6500K
   - 光通量：2900LM、5000LM
   - 演色性：≧ 90
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：鐵底盤、PMMA 擴散罩

5. **LED 緊急照明燈**（Page 346）
   - 產品型號：LED-28001R1、LED-28010、LED-28006、LED-28007、LED-28008、LED-28009
   - 消耗電力：2.59W、2.52W、3.7W
   - 電池規格：鎳鎘電池 3.6V、700mAh
   - 點燈方式：停電才亮、平常亮 停電亮
   - 燈體材質：塑料、鐵 + 壓克力 PMMA
   - 輸入電壓：110-220V（全電壓）

這些產品涵蓋了不同類型的LED燈具，包括嵌入式、吸頂式、緊急照明等，並提供了詳細的技術規格和材質信息。",3.0,❌ FAIL,96,23.652
2,LED燈 20Wx1 吊管式 220V,舞光/L4140+65K,"根據型錄內容，以下是所有產品及其規格的詳細統整：

1. **L2240+65K 系列**（Page 215）
   - **產品型號**: L2240+65K
   - **消耗電力**: 13W
   - **色溫**: 6500K
   - **發光效率**: 148lm/W
   - **光通量**: 2000LM
   - **固定方式**: 吸頂式、吊鍊式（吊鍊另計）
   - **演色性**: ≧ 80
   - **輸入電壓**: 100-240V (全電壓)
   - **燈體材質**: 反射罩

2. **L4240+57K 系列**（Page 215）
   - **產品型號**: L4240+57K
   - **消耗電力**: 26W
   - **色溫**: 5700K
   - **發光效率**: 155lm/W
   - **光通量**: 4000LM
   - **固定方式**: 吸頂式、吊管式、吊鍊式（吊管、吊鍊另計）
   - **演色性**: ≧ 80
   - **輸入電壓**: 100-240V (全電壓)
   - **燈體材質**: 無

3. **OT8WA 系列**（Page 258）
   - **產品型號**: OT8WA2X1+65K
   - **消耗電力**: 6.5W
   - **色溫**: 6500K
   - **光通量**: 900LM
   - **固定方式**: 吊管式（吊管另計）
   - **輸入電壓**: 100-240V (全電壓)
   - **燈體材質**: 不鏽鋼扣、散熱塑

4. **神盾吸頂筒燈系列**（Page 123）
   - **產品型號**: LED-CEA20D
   - **消耗電力**: 20W
   - **色溫**: 6000K
   - **光通量**: 2000LM
   - **燈體顏色**: 時尚白
   - **演色性**: ≧ 80
   - **輸入電壓**: 100-240V (全電壓)
   - **光束角**: 36°
   - **燈體材質**: 無

5. **晨光吸頂燈系列**（Page 207）
   - **產品型號**: LED-2216D
   - **消耗電力**: 20W
   - **色溫**: 6500K
   - **光通量**: 2400LM
   - **演色性**: ≧ 80
   - **輸入電壓**: 100-240V (全電壓)
   - **發光角度**: 300°
   - **固定方式**: 吸頂式、吊管式（吊管另計）
   - **燈體材質**: 鋁底盤、PC罩

這些產品涵蓋了不同的固定方式、色溫、光通量和材質選擇，適合各種照明需求。",2.0,❌ FAIL,99,18.838
3,LED燈 20Wx1 吸頂式 220V,舞光/L4140+65K,"根據型錄內容，以下是所有產品及其規格的詳細統整：

1. **神盾吸頂筒燈系列**（Page 123）
   - **20W 神盾吸頂筒燈**
     - 產品型號：LED-CEA20D, LED-CEA20N, LED-CEA20W, LED-CEA20D-BK, LED-CEA20N-BK, LED-CEA20W-BK
     - 消耗電力：20W
     - 色溫：6000K, 4000K, 3000K
     - 光通量：2000LM, 1600LM
     - 燈體顏色：時尚白, 貴族黑
     - 演色性：≧ 80, ≧ 90
     - 輸入電壓：100-240V (全電壓)
     - 光束角：36°
     - 燈體材質：壓鑄鋁, 壓克力

2. **晨光吸頂燈**（Page 207）
   - **2/4 尺晨光吸頂燈**
     - 產品型號：LED-2216D, LED-4216D
     - 消耗電力：20W, 40W
     - 色溫：6500K
     - 光通量：2400LM, 4800LM
     - 演色性：≧ 80
     - 輸入電壓：100-240V (全電壓)
     - 發光角度：300°
     - 固定方式：吸頂式、吊管式
     - 燈體材質：鋁底盤 PC 罩, 304 不鏽鋼壁板

3. **邱比特吸頂式系列**（Page 43）
   - **7W 邱比特吸頂燈**
     - 產品型號：D-CCP7NR2, D-CCP7WR2, D-CCP7NR2-BK, D-CCP7WR2-BK
     - 消耗電力：7W
     - 色溫：4000K, 3000K
     - 光通量：530LM, 500LM
     - 燈體顏色：時尚白
     - 演色性：≧ 80
     - 輸入電壓：100-240V (全電壓)
     - 光束角：30°
     - 燈體材質：壓鑄鋁, PC

4. **薄型吸頂燈**（Page 156）
   - **12W 小珠薄型吸頂燈**
     - 產品型號：LED-21028DR3, LED-21028NR3, LED-21028WR3, LED-21028DR3-BK, LED-21028NR3-BK, LED-21028WR3-BK
     - 消耗電力：12W
     - 色溫：6500K, 4000K, 3000K
     - 光通量：1200LM
     - 燈體顏色：時尚白, 貴族黑
     - 演色性：≧ 80
     - 輸入電壓：100-240V (全電壓)
     - 發光角度：160°

5. **玻璃蛋糕吸頂燈**（Page 157）
   - **16W 玻璃蛋糕吸頂燈**
     - 產品型號：LED-CEK16D-WHR1, LED-CEK16W-WHR1, LED-CEK16D-SR1, LED-CEK16W-SR1, LED-CEK16D-CWR1, LED-CEK16W-CWR1
     - 消耗電力：16W
     - 色溫：6500K, 3000K
     - 光通量：1250LM, 1200LM
     - 燈體顏色：時尚白, 質感銀, 古典木
     - 演色性：≧ 80
     - 輸入電壓：100-240V (全電壓)
     - 發光角度：白玉玻璃 烤漆鐵底盤

這些產品的詳細規格和特點可以幫助您選擇適合的吸頂燈產品。",2.0,❌ FAIL,98,40.008
4,LED燈 20Wx1 壁式 220V,舞光/L4140+65K,"根據型錄內容，以下是所有產品及其規格的詳細統整：

1. **圓轉防水壁燈**（Page 294）
   - 產品型號：OD-2346
   - 消耗電力：13W
   - 色溫：3000K
   - 光通量：250LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 驅動器：防水驅動器 (內含)
   - 發光角度：114°
   - 燈體材質：壓鑄鋁 散熱塑 深灰色粉體防鏽烤漆

2. **手持工作燈**（Page 246）
   - 支援 type-C 充電
   - 20W 規格附 USB 孔，可作臨時行動電源使用 (輸出電壓 5V/1A)
   - 三段式亮度調整與警示模式
   - 背面磁吸設計，方便吸附於鐵材上
   - 20W 另有 1/4 螺孔設計通用雲台腳架

3. **2/4 尺晨光吸頂燈**（Page 207）
   - 產品型號：LED-2216D
   - 消耗電力：20W
   - 色溫：6500K
   - 光通量：2400LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 發光角度：300°
   - 固定方式：吸頂式、吊管式 日光燈吊管另計
   - 燈體材質：鋁底盤 PC 罩

4. **神盾吸頂筒燈系列**（Page 123）
   - 產品型號：LED-CEA20D
   - 消耗電力：20W
   - 色溫：6000K
   - 光通量：2000LM
   - 燈體顏色：時尚白
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 光束角：36°
   - 燈體材質：壓鑄鋁

5. **柔伊防水壁燈**（Page 283）
   - 產品型號：E-2377
   - 消耗電力：4W
   - 色溫：3000K
   - 光通量：200LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 驅動器：防水驅動器 (內含)
   - 發光角度：120°
   - 燈體材質：壓鑄鋁、PC 深灰色粉體防鏽烤漆

6. **LED 平板燈**（Page 190）
   - 產品型號：D-21PD20D
   - 消耗電力：20W
   - 色溫：6500K
   - 光通量：2000LM
   - 輸入電壓：100-240V (全電壓)
   - 固定方式：吊鍊式
   - 演色性：≧ 80
   - 發光角度：160°
   - 燈體材質：鋁邊框、鐵底殼 PS 高透光、擴散板

這些產品涵蓋了不同類型的燈具，包括壁燈、吸頂燈、工作燈等，並提供了詳細的技術規格和安裝方式。",10.0,❌ FAIL,85,19.828
5,LED燈 15Wx1 嵌入式 220V,舞光/D-15DOP12DESR1,"根據型錄內容，以下是所有產品及其規格的詳細統整：

1. **邱比特吸頂式系列**（Page 43）
   - 產品型號：LED-CCP15NR1, LED-CCP15WR1, LED-CCP15N-BK, LED-CCP15W-BK
   - 消耗電力：15W
   - 色溫：4000K, 3000K
   - 光通量：1200LM, 1150LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 光束角：36°
   - 燈體材質：壓鑄鋁, PC

2. **微笑軌道燈系列**（Page 45）
   - 產品型號：LED-TRSM15DR3, LED-TRSM15NR3, LED-TRSM15WR3, LED-TRSM15DR3BK, LED-TRSM15NR3BK, LED-TRSM15WR3BK
   - 消耗電力：15W
   - 色溫：6000K, 4000K, 3000K
   - 光通量：1500LM, 1400LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 光束角：24°
   - 燈體材質：鋁 PC

3. **微笑崁燈系列**（Page 115）
   - 產品型號：LED-9DOS15DR3, LED-9DOS15NR3, LED-9DOS15WR3, LED-9DOS15DR3BK, LED-9DOS15NR3BK
   - 消耗電力：15W
   - 色溫：6000K, 4000K, 3000K
   - 光通量：1500LM, 1400LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 光束角：24°
   - 燈體材質：鋁, PC

4. **邱比特軌道燈系列**（Page 41）
   - 產品型號：LED-TRCP15DR1, LED-TRCP15NR1, LED-TRCP15WR1, LED-TRCP15D-BK, LED-TRCP15N-BK, LED-TRCP15W-BK
   - 消耗電力：15W
   - 色溫：6500K, 4000K, 3000K
   - 光通量：1200LM, 1150LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 光束角：36°
   - 燈體材質：壓鑄鋁, PC

5. **達文西磁吸軌道系列**（Page 29）
   - 產品型號：LED-MTTR15D, LED-MTTR15N, LED-MTTR15W
   - 消耗電力：15W
   - 色溫：5700K, 4000K, 3000K
   - 光通量：1350LM, 1200LM, 1125LM
   - 演色性：≧ 80, ≧ 90 R9>50
   - 輸入電壓：DC24V (需外接驅動器)
   - 光束角：36°
   - 燈體材質：壓鑄鋁 PC PMMA

這些產品均為15W的LED燈，適用於不同的安裝方式和環境，並提供多種色溫選擇以滿足不同的照明需求。",6.0,❌ FAIL,82,44.796
6,LED 燈 13Wx2 壁式 220V,舞光/OD-2054-S+LED-E2712W-EG 舞-E27X2 小螺旋壁燈銀框 +12W*2,"根據型錄內容，以下是所有產品及其規格的詳細統整：

1. **LED 燈具**
   - **產品型號：L2243R5+65K / L2243R5+57K**
     - 消耗電力：13W
     - 色溫：6500K / 5700K
     - 光通量：2100LM
     - 演色性：≧ 80
     - 發光效率：162LM/W
     - 輸入電壓：100-240V (全電壓)
     - 燈體材質：冷軋鋼板，不脫落固定螺絲
     - 參考頁碼：Page 211

2. **矩光防水壁燈**
   - **產品型號：E-2376**
     - 消耗電力：13W
     - 色溫：3000K
     - 光通量：970LM
     - 演色性：≧ 80
     - 輸入電壓：100-240V (全電壓)
     - 驅動器：防水驅動器 (內含)
     - 燈體材質：壓鑄鋁、PC 深灰色粉體防鏽烤漆
     - 參考頁碼：Page 284

3. **圓轉防水壁燈**
   - **產品型號：OD-2346**
     - 消耗電力：13W
     - 色溫：3000K
     - 光通量：250LM
     - 演色性：≧ 80
     - 輸入電壓：100-240V (全電壓)
     - 驅動器：防水驅動器 (內含)
     - 發光角度：114°
     - 燈體材質：壓鑄鋁 散熱塑 深灰色粉體防鏽烤漆
     - 參考頁碼：Page 294

4. **伊莉莎白防水壁燈**
   - **產品型號：OD-2301**
     - 消耗電力：13W
     - 色溫：3000K
     - 光通量：650LM
     - 演色性：≧ 80
     - 輸入電壓：100-240V (全電壓)
     - 驅動器：防水驅動器 (內含)
     - 發光角度：113°
     - 燈體材質：壓鑄鋁 鋼化玻璃 深灰色粉體防鏽烤漆
     - 參考頁碼：Page 287

5. **安妮防水壁燈**
   - **產品型號：OD-2300**
     - 消耗電力：13W
     - 色溫：3000K
     - 光通量：950LM
     - 演色性：≧ 80
     - 輸入電壓：100-240V (全電壓)
     - 驅動器：防水驅動器 (內含)
     - 發光角度：115°
     - 燈體材質：壓鑄鋁 散熱塑 深灰色粉體防鏽烤漆
     - 參考頁碼：Page 293

這些產品的詳細規格和特性可以幫助您在選擇合適的LED燈具時做出明智的決定。",5.0,❌ FAIL,79,72.806
7,LED 燈 50Wx1 壁投式 220V,舞光/E-FLCS50D 舞-50W 凱薩泛光燈 5700K,"根據型錄內容，以下是所有產品及其規格的詳細統整：

1. **Ai 智慧吸頂燈**
   - 型號：LED-CES30-TWM, LED-CES50-TWM
   - 消耗電力：30W, 50W
   - 色溫：3000K - 6500K
   - 光通量：2900LM (30W), 5000LM (50W)
   - 演色性：≥ 90
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：鐵底盤 PMMA 擴散罩
   - 特點：APP調光調色、語音控制、壁控（Page 185）

2. **圓轉防水壁燈**
   - 型號：OD-2346
   - 消耗電力：13W
   - 色溫：3000K
   - 光通量：250LM
   - 演色性：≥ 80
   - 輸入電壓：100-240V (全電壓)
   - 驅動器：防水驅動器 (內含)
   - 發光角度：114°
   - 燈體材質：壓鑄鋁 散熱塑 深灰色粉體防鏽烤漆（Page 294）

3. **雲朵單色吸頂燈**
   - 型號：D-CEN50DR2, D-CEN50NR2, D-CEN50WR2
   - 消耗電力：50W
   - 色溫：6500K, 4000K, 3000K
   - 光通量：5000LM (6500K, 4000K), 4500LM (3000K)
   - 演色性：≥ 80
   - 輸入電壓：100-240V (全電壓)
   - 發光角度：180°（Page 145）

4. **星鑽遙控吸頂燈**
   - 型號：LED-CES50DMR3
   - 消耗電力：2W-50W
   - 色溫：3000K-6500K
   - 光通量：15LM-5200LM
   - 演色性：≥ 80
   - 輸入電壓：100-240V (全電壓)
   - 發光角度：160°
   - 燈體材質：PMMA 星鑽燈罩 烤漆鐵底盤 PC 防觸電罩（Page 153）

5. **圓虹床頭壁燈**
   - 型號：LED-26011, LED-26011-BK
   - 消耗電力：8W
   - 色溫：3000K
   - 光通量：487LM
   - 演色性：≥ 80
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：鋁合金烤漆（Page 164）

6. **金箔壁燈**
   - 型號：LED-26002, LED-26001
   - 消耗電力：7W
   - 色溫：3000K
   - 光通量：250LM (LED-26002), 350LM (LED-26001)
   - 演色性：≥ 80
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：烤漆壓鑄鋁（外白內金）壓克力（Page 169）

這些產品的詳細規格和特點可以在相應的頁碼中找到。",2.0,❌ FAIL,97,49.765
8,LED 燈 100Wx1 壁投式 220V,舞光/E-FLCS100D 舞-100W 凱薩泛光燈 5700K,"根據型錄內容，以下是所有產品及其規格的詳細統整：

1. **LED 燈管系列**（Page 330）
   - 產品型號：LED-T85DR7, LED-T85WR7, LED-T810DR7, LED-T810NR7, LED-T810WR8, LED-T815DR7, LED-T820DR7, LED-T820NR7, LED-T820WR7
   - 消耗電力：5W, 10W, 15W, 20W
   - 色溫：6500K, 3000K, 4000K
   - 光通量：500LM, 1100LM, 1650LM, 2200LM, 2100LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：耐熱燈頭, 軟燈板, 玻璃

2. **LED 吸頂燈系列**（Page 206）
   - 產品型號：LED-1217D, LED-1217N, LED-2217D, LED-2217N, LED-4217D, LED-4217N
   - 消耗電力：9W, 18W, 36W
   - 色溫：6500K, 4000K
   - 光通量：1170LM, 2160LM, 4320LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 發光角度：220°
   - 固定方式：吸頂式, 吊管式, 吊式壁板
   - 燈體材質：PC, 鋼板

3. **黑板燈系列**（Page 218）
   - 產品型號：L41571R6+65K, L41571R6+57K, L42571R6+65K, L42571R6+57K
   - 消耗電力：13W, 26W
   - 色溫：6500K, 5700K
   - 光通量：1800LM, 3300LM
   - 發光效率：138LM/W, 127LM/W
   - 固定方式：吊式, 吸頂式
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：冷軋鋼板, 鏡面反射板

4. **黑金箔壁燈系列**（Page 168）
   - 產品型號：LED-26002-BK, LED-26001-BK
   - 消耗電力：7W
   - 色溫：3000K
   - 光通量：250LM, 350LM
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 燈體材質：烤漆壓鑄鋁, 壓克力

5. **宇宙天井燈系列**（Page 229）
   - 產品型號：LED-HBUN100D, LED-HBUN150D, LED-HBUN200D
   - 消耗電力：100W, 150W, 200W
   - 色溫：6500K
   - 光通量：16000LM, 24000LM, 32000LM
   - 重量：3.0kg, 3.5kg, 4.8kg
   - 演色性：≧ 80
   - 輸入電壓：100-240V (全電壓)
   - 發光角度：140°
   - 燈體材質：壓鑄鋁, PC 深灰色粉體防鏽烤漆

這些產品涵蓋了多種用途的LED燈具，包括燈管、吸頂燈、壁燈和天井燈，適合不同的照明需求。",3.0,❌ FAIL,97,107.577
9,LED 燈 20Wx2 吸頂式 220V,舞光/L4240+65K (組) 舞-4 尺 2 管 26W 工事燈 65K,"根據型錄內容，以下是所有產品及其規格的詳細統整：

1. **神盾吸頂筒燈系列**（Page 123）
   - **20W 神盾吸頂筒燈**
     - 型號：LED-CEA20D, LED-CEA20N, LED-CEA20W, LED-CEA20D-BK, LED-CEA20N-BK, LED-CEA20W-BK
     - 消耗電力：20W
     - 色溫：6000K, 4000K, 3000K
     - 光通量：2000LM, 1600LM
     - 燈體顏色：時尚白, 貴族黑
     - 演色性：≧ 80, ≧ 90
     - 輸入電壓：100-240V (全電壓)
     - 光束角：36°
     - 燈體材質：壓鑄鋁, 壓克力

2. **晨光吸頂燈**（Page 207）
   - **2/4 尺晨光吸頂燈**
     - 型號：LED-2216D, LED-4216D
     - 消耗電力：20W, 40W
     - 色溫：6500K
     - 光通量：2400LM, 4800LM
     - 演色性：≧ 80
     - 輸入電壓：100-240V (全電壓)
     - 發光角度：300°
     - 固定方式：吸頂式、吊管式
     - 燈體材質：鋁底盤 PC 罩, 304 不鏽鋼壁板

3. **薄型吸頂燈**（Page 156）
   - **12W 小珠薄型吸頂燈**
     - 型號：LED-21028DR3, LED-21028NR3, LED-21028WR3, LED-21028DR3-BK, LED-21028NR3-BK, LED-21028WR3-BK
     - 消耗電力：12W
     - 色溫：6500K, 4000K, 3000K
     - 光通量：1200LM
     - 演色性：≧ 80
     - 輸入電壓：100-240V (全電壓)
     - 發光角度：160°

   - **18W 大珠薄型吸頂燈**
     - 型號：LED-21029DR3, LED-21029NR3, LED-21029WR3, LED-21029DR3-BK, LED-21029NR3-BK, LED-21029WR3-BK
     - 消耗電力：18W
     - 色溫：6000K, 4000K, 3000K
     - 光通量：1800LM
     - 演色性：≧ 80
     - 輸入電壓：100-240V (全電壓)
     - 發光角度：160°

4. **邱比特吸頂式系列**（Page 43）
   - **7W 邱比特吸頂燈**
     - 型號：D-CCP7NR2, D-CCP7WR2, D-CCP7NR2-BK, D-CCP7WR2-BK
     - 消耗電力：7W
     - 色溫：4000K, 3000K
     - 光通量：530LM, 500LM
     - 演色性：≧ 80
     - 輸入電壓：100-240V (全電壓)
     - 光束角：30°
     - 燈體材質：壓鑄鋁, PC

   - **15W 邱比特吸頂投射燈**
     - 型號：LED-CCP15NR1, LED-CCP15WR1, LED-CCP15N-BK, LED-CCP15W-BK
     - 消耗電力：15W
     - 色溫：4000K, 3000K
     - 光通量：1200LM, 1150LM
     - 演色性：≧ 80
     - 輸入電壓：100-240V (全電壓)
     - 光束角：36°
     - 燈體材質：壓鑄鋁, PC

這些產品的詳細規格和特性可以在相應的頁碼中找到。",2.0,❌ FAIL,96,28.106
10,LED燈 40Wx1 平板燈,舞光/D-PD40DR7 舞-40W 柔光平板燈 65K,"根據型錄內容，以下是LED燈40W平板燈的產品及規格：

1. **產品型號**: D-PD40DR7, D-PD40NR7, D-PD40WR7
2. **消耗電力**: 40W
3. **色溫**:
   - D-PD40DR7: 6500K
   - D-PD40NR7: 4000K
   - D-PD40WR7: 3000K
4. **光通量**: 4000LM
5. **輸入電壓**: 100-240V (全電壓)
6. **固定方式**: 吊鍊式
7. **演色性**: ≧ 80
8. **發光角度**: 160°
9. **燈體材質**:
   - D-PD40DR7: PS
   - D-PD40NR7, D-PD40WR7: 鐵邊框、鐵底殼，高透光擴散板

這些資訊來自於型錄的第190頁。",9.0,✅ PASS,77,20.647
